,image_file,label_file,large_category,medium_category,small_category,핏,촉감,신축성,비침,두께,계절,major_style,minor_style
34,BOTTOMS_LONG_COTTON_image_10_5.jpg,10_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,약간 있음,거의 없음,"약간 얇음, 보통","봄, 여름, 가을",캐주얼,스트릿
35,BOTTOMS_LONG_COTTON_image_1103_3.jpg,1103_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,있음,없음,보통,"봄, 여름, 가을",미니멀,캐주얼
36,BOTTOMS_LONG_COTTON_image_1103_5.jpg,1103_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,있음,거의 없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
37,BOTTOMS_LONG_COTTON_image_1106_0.jpg,1106_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,보통,거의 없음,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
38,BOTTOMS_LONG_COTTON_image_1107_5.jpg,1107_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,,있음,없음,보통,"가을, 겨울",캐주얼,스트릿
39,BOTTOMS_LONG_COTTON_image_1112_1.jpg,1112_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 루즈",약간 부드러움,보통,보통,보통,"봄, 여름, 가을",캐주얼,스트릿
40,BOTTOMS_LONG_COTTON_image_1120_0.jpg,1120_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,부드러움,없음,"거의 없음, 없음",약간 얇음,"봄, 가을, 겨울",캐주얼,스트릿
41,BOTTOMS_LONG_COTTON_image_1121_1.jpg,1121_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,"얇음, 약간 얇음","봄, 여름, 가을, 겨울",미니멀,캐주얼
42,BOTTOMS_LONG_COTTON_image_1122_1.jpg,1122_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,"얇음, 약간 얇음","봄, 여름, 가을, 겨울",미니멀,캐주얼
43,BOTTOMS_LONG_COTTON_image_1129_0.jpg,1129_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,"얇음, 약간 얇음","봄, 여름, 가을, 겨울",미니멀,캐주얼
44,BOTTOMS_LONG_COTTON_image_112_0.jpg,112_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,"얇음, 약간 얇음","봄, 여름, 가을, 겨울",미니멀,캐주얼
45,BOTTOMS_LONG_COTTON_image_1131_0.jpg,1131_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,"얇음, 약간 얇음","봄, 여름, 가을, 겨울",미니멀,캐주얼
46,BOTTOMS_LONG_COTTON_image_1131_6.jpg,1131_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,"얇음, 약간 얇음","봄, 여름, 가을, 겨울",미니멀,캐주얼
47,BOTTOMS_LONG_COTTON_image_1136_0.jpg,1136_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,보통,"봄, 가을",캐주얼,스트릿
48,BOTTOMS_LONG_COTTON_image_113_0.jpg,113_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,약간 있음,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
49,BOTTOMS_LONG_COTTON_image_1142_1.jpg,1142_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,약간 있음,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
50,BOTTOMS_LONG_COTTON_image_1151_0.jpg,1151_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,약간 있음,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
51,BOTTOMS_LONG_COTTON_image_1157_0.jpg,1157_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,부드러움,있음,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
52,BOTTOMS_LONG_COTTON_image_1166_3.jpg,1166_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,거의 없음,약간 얇음,"봄, 가을, 겨울",미니멀,캐주얼
53,BOTTOMS_LONG_COTTON_image_1166_5.jpg,1166_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,거의 없음,약간 얇음,"봄, 가을, 겨울",미니멀,캐주얼
54,BOTTOMS_LONG_COTTON_image_1167_3.jpg,1167_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 뻣뻣함,거의 없음,없음,두꺼움,"봄, 가을, 겨울",미니멀,캐주얼
55,BOTTOMS_LONG_COTTON_image_1167_4.jpg,1167_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,보통,거의 없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
56,BOTTOMS_LONG_COTTON_image_1168_0.jpg,1168_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
57,BOTTOMS_LONG_COTTON_image_1169_0.jpg,1169_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,약간 부드러움,보통,거의 없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
58,BOTTOMS_LONG_COTTON_image_1173_1.jpg,1173_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",부드러움,보통,"보통, 거의 없음",보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
59,BOTTOMS_LONG_COTTON_image_1173_2.jpg,1173_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈","약간 부드러움, 보통","보통, 약간 있음",없음,"약간 얇음, 보통","봄, 가을, 겨울",캐주얼,스트릿
60,BOTTOMS_LONG_COTTON_image_1173_3.jpg,1173_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,거의 없음,없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
61,BOTTOMS_LONG_COTTON_image_1173_4.jpg,1173_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,없음,보통,"봄, 가을",미니멀,캐주얼
62,BOTTOMS_LONG_COTTON_image_1173_5.jpg,1173_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,없음,보통,"봄, 가을",미니멀,캐주얼
63,BOTTOMS_LONG_COTTON_image_1173_6.jpg,1173_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",부드러움,있음,없음,얇음,"봄, 여름, 가을, 겨울",미니멀,캐주얼
64,BOTTOMS_LONG_COTTON_image_1174_0.jpg,1174_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,보통,"봄, 가을",캐주얼,스트릿
65,BOTTOMS_LONG_COTTON_image_1177_0.jpg,1177_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,있음,거의 없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
66,BOTTOMS_LONG_COTTON_image_1179_0.jpg,1179_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",보통,보통,거의 없음,보통,"봄, 여름, 가을",미니멀,캐주얼
67,BOTTOMS_LONG_COTTON_image_1179_2.jpg,1179_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,보통,보통,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
68,BOTTOMS_LONG_COTTON_image_117_1.jpg,117_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,있음,거의 없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
69,BOTTOMS_LONG_COTTON_image_1181_0.jpg,1181_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 루즈",부드러움,있음,거의 없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
70,BOTTOMS_LONG_COTTON_image_1183_0.jpg,1183_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",보통,,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
71,BOTTOMS_LONG_COTTON_image_1185_1.jpg,1185_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,,있음,없음,보통,"봄, 가을",캐주얼,스트릿
72,BOTTOMS_LONG_COTTON_image_1188_0.jpg,1188_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,보통,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
73,BOTTOMS_LONG_COTTON_image_1189_1.jpg,1189_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,약간 있음,거의 없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
74,BOTTOMS_LONG_COTTON_image_1190_4.jpg,1190_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,부드러움,보통,없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
75,BOTTOMS_LONG_COTTON_image_1199_0.jpg,1199_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,있음,"거의 없음, 없음",보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
76,BOTTOMS_LONG_COTTON_image_1202_1.jpg,1202_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,있음,"거의 없음, 없음",보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
77,BOTTOMS_LONG_COTTON_image_1202_3.jpg,1202_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,보통,약간 있음,없음,약간 두꺼움,"봄, 가을, 겨울",캐주얼,스트릿
78,BOTTOMS_LONG_COTTON_image_1202_5.jpg,1202_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,부드러움,보통,보통,보통,"봄, 가을",캐주얼,스트릿
79,BOTTOMS_LONG_COTTON_image_1206_0.jpg,1206_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 루즈","약간 부드러움, 보통","보통, 약간 있음",없음,"약간 얇음, 보통","봄, 가을",캐주얼,스트릿
80,BOTTOMS_LONG_COTTON_image_120_1.jpg,120_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,보통,없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
81,BOTTOMS_LONG_COTTON_image_1213_0.jpg,1213_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,보통,있음,보통,보통,"봄, 가을",캐주얼,스트릿
82,BOTTOMS_LONG_COTTON_image_121_5.jpg,121_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,있음,거의 없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
83,BOTTOMS_LONG_COTTON_image_121_6.jpg,121_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",약간 부드러움,약간 있음,없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
84,BOTTOMS_LONG_COTTON_image_121_7.jpg,121_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,보통,보통,"봄, 여름, 가을",캐주얼,스트릿
85,BOTTOMS_LONG_COTTON_image_121_8.jpg,121_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",약간 부드러움,약간 있음,거의 없음,보통,"봄, 가을",캐주얼,스트릿
86,BOTTOMS_LONG_COTTON_image_121_9.jpg,121_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,보통,보통,여름,미니멀,캐주얼
87,BOTTOMS_LONG_COTTON_image_1224_0.jpg,1224_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,보통,없음,약간 두꺼움,"봄, 가을, 겨울",캐주얼,스트릿
88,BOTTOMS_LONG_COTTON_image_1226_1.jpg,1226_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,있음,없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
89,BOTTOMS_LONG_COTTON_image_1227_4.jpg,1227_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,있음,없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
90,BOTTOMS_LONG_COTTON_image_1239_0.jpg,1239_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,없음,보통,"봄, 가을",캐주얼,스트릿
91,BOTTOMS_LONG_COTTON_image_123_4.jpg,123_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,"부드러움, 약간 부드러움",있음,없음,보통,"가을, 겨울",캐주얼,스트릿
92,BOTTOMS_LONG_COTTON_image_1245_1.jpg,1245_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,부드러움,보통,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
93,BOTTOMS_LONG_COTTON_image_1245_2.jpg,1245_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,부드러움,보통,보통,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
94,BOTTOMS_LONG_COTTON_image_1246_3.jpg,1246_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,없음,약간 얇음,"봄, 여름",미니멀,캐주얼
95,BOTTOMS_LONG_COTTON_image_1246_8.jpg,1246_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,있음,없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
96,BOTTOMS_LONG_COTTON_image_1250_0.jpg,1250_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,거의 없음,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
97,BOTTOMS_LONG_COTTON_image_125_1.jpg,125_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 루즈",약간 부드러움,보통,보통,보통,"봄, 여름, 가을",캐주얼,스트릿
98,BOTTOMS_LONG_COTTON_image_125_2.jpg,125_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 오버 사이즈",약간 부드러움,약간 있음,약간 있음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
99,BOTTOMS_LONG_COTTON_image_125_3.jpg,125_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 오버 사이즈",약간 부드러움,약간 있음,약간 있음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
100,BOTTOMS_LONG_COTTON_image_125_4.jpg,125_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 오버 사이즈",약간 부드러움,약간 있음,약간 있음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
101,BOTTOMS_LONG_COTTON_image_125_5.jpg,125_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 오버 사이즈",약간 부드러움,약간 있음,약간 있음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
102,BOTTOMS_LONG_COTTON_image_1260_1.jpg,1260_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 오버 사이즈",약간 부드러움,약간 있음,약간 있음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
103,BOTTOMS_LONG_COTTON_image_1261_0.jpg,1261_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 오버 사이즈",약간 부드러움,약간 있음,약간 있음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
104,BOTTOMS_LONG_COTTON_image_1262_0.jpg,1262_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 오버 사이즈",약간 부드러움,약간 있음,약간 있음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
105,BOTTOMS_LONG_COTTON_image_1264_0.jpg,1264_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,약간 있음,약간 있음,약간 얇음,여름,미니멀,캐주얼
106,BOTTOMS_LONG_COTTON_image_1268_2.jpg,1268_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,"부드러움, 약간 부드러움",있음,없음,"약간 얇음, 보통","봄, 가을, 겨울",캐주얼,스트릿
107,BOTTOMS_LONG_COTTON_image_1269_5.jpg,1269_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,보통,없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
108,BOTTOMS_LONG_COTTON_image_1272_1.jpg,1272_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,부드러움,있음,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
109,BOTTOMS_LONG_COTTON_image_1277_0.jpg,1277_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",약간 부드러움,보통,없음,"약간 얇음, 보통","봄, 여름, 가을",캐주얼,스트릿
110,BOTTOMS_LONG_COTTON_image_1279_0.jpg,1279_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,있음,없음,약간 얇음,"봄, 가을",캐주얼,스트릿
111,BOTTOMS_LONG_COTTON_image_1281_1.jpg,1281_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,"약간 부드러움, 보통",보통,보통,보통,"봄, 여름, 가을",미니멀,캐주얼
112,BOTTOMS_LONG_COTTON_image_1282_8.jpg,1282_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,부드러움,있음,약간 있음,약간 얇음,"봄, 여름, 가을",미니멀,캐주얼
113,BOTTOMS_LONG_COTTON_image_1284_1.jpg,1284_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,약간 부드러움,거의 없음,거의 없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
114,BOTTOMS_LONG_COTTON_image_1285_0.jpg,1285_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",약간 부드러움,약간 있음,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
